17;-37.6665;0.1;40.4557;0
18;37.6839;0.1;-35.6672;0
19;-3.09608;0;-3.00654;20
22;-3.04635;0;11.4391;200
21;12.0616;0;-2.63218;-170
20;10.7971;0;8.54685;90
25;2.47792;0;-9.80675;0
24;-1.24017;0;18.7806;0
26;-10.4827;0;1.71053;0
28;-7.69134;0;13.2629;0
27;17.1033;0;-2.79086;0
25;12.8118;0;16.0345;0
26;-5.75043;0;3.10744;0
28;6.11225;0;18.7137;0
24;3.77201;0;-1.18191;0
26;-2.92662;0;-9.60455;0
28;1.76685;0;10.1336;0
27;4.62655;0;12.3858;0
26;17.8794;0;6.82477;0
25;26.0715;0;-34.8188;0
19;-18.8256;0;5.73942;100
20;-17.5622;0;-5.06263;-20
25;-18.0492;0;1.65119;0
27;-18.0573;0;13.827;0
22;-14.7753;0;-12.2985;60
28;-9.61009;0;-14.2046;0
21;-10.7148;0;26.1822;10
26;-2.63993;0;2.25683;0
26;-10.8753;0;20.5664;0
25;-1.07505;0;26.63;0
28;15.7626;0;12.333;0
28;11.8636;0;-9.14152;0
25;26.253;0;10.0946;0
25;7.58816;0;-10.5674;0
23;26.0144;0;2.61071;0
26;23.5873;0;-0.448615;0
22;21.698;0;-11.35;0
27;1.17214;0;2.33665;-100
20;19.7811;0;20.4134;-40
19;11.6582;0;27.5254;20
25;15.6999;0;25.2255;0
26;6.22416;0;15.7662;0
25;33.4394;0;-15.3851;0
25;40.0354;0;40.0189;0
25;-35.0092;0;-31.0349;0
24;24.3517;0;-24.7708;50
24;32.6693;0;-29.834;200
27;-6.75098;0;-7.1853;0
27;-0.603995;0;-5.76156;70
28;1.7195;0;19.5448;0
28;17.1525;0;9.45417;0
25;-33.8156;0;29.4634;0
25;-19.7252;0;21.4817;0
25;-27.1501;0;25.8828;0
24;33.1703;0;-23.3819;20
24;23.6434;0;-17.1177;50
24;31.9641;0;-7.73595;30
24;28.2138;0;-2.30473;-20
25;31.8015;0;39.0168;-60
25;31.7314;0;31.3203;-40
25;24.2267;0;34.8822;0
25;-37.7898;0;-39.9038;0
25;39.2284;0;32.2827;-40
25;36.5488;0;23.7866;0
25;-29.2024;0;-38.7881;0
25;-26.3959;0;-28.3013;0
24;-23.5923;0;-33.414;0
24;-31.4671;0;-23.6008;30
24;-20.2673;0;-39.121;130
24;-38.6656;0;-24.0274;-90
24;39.4686;0;18.6017;90
24;28.8745;0;26.8716;0
24;19.5834;0;33.8707;30
28;-38.0868;0;-6.112;0
28;-38.2708;0;-0.895093;0
28;-34.5396;0;-3.42306;0
26;5.22514;0;-37.0982;0
26;1.47082;0;-36.6317;0
26;3.93544;0;-33.1423;0
-1;-13.579;0.1;10.3755;-2.77287;0.1;34.5198;24.1208;0.1;24.5353;20.8688;0.1;-1.99858
-1;-13.579;0.1;10.3755;-19.4226;0.1;-18.3417;11.9447;0.1;-24.2659;20.8688;0.1;-1.99858
-1;-37.6665;0.1;40.4557;-30.7284;0.1;23.4523;-13.2897;0.1;37.2146;-13.579;0.1;10.3755
-1;37.6839;0.1;-35.6672;20.2203;0.1;-36.3436;36.0329;0.1;-12.601;20.8688;0.1;-1.99858
-1;20.8688;0.1;-1.99858;17.5496;0;7.25503;1.61679;0;0.835765;-13.579;0.1;10.3755
